year,icd_main_category,icd_detail_category,gender,death_age,death_count
2021,1-026-Neplasms(C00-D48),1-028-Malignant neoplasm of oesophagus(C15),F,65 - 69,6
2021,1-026-Neplasms(C00-D48),1-028-Malignant neoplasm of oesophagus(C15),F,70 - 74,1
2021,1-026-Neplasms(C00-D48),1-028-Malignant neoplasm of oesophagus(C15),F,75 - 79,1
2021,1-026-Neplasms(C00-D48),1-028-Malignant neoplasm of oesophagus(C15),F,80 - 84,3
2021,1-026-Neplasms(C00-D48),1-028-Malignant neoplasm of oesophagus(C15),F,85 and Over,4
2021,1-026-Neplasms(C00-D48),1-029-Malignant neoplasm of stomach(C16),F,30 - 39,2
2021,1-026-Neplasms(C00-D48),1-029-Malignant neoplasm of stomach(C16),F,40 - 49,10
2021,1-026-Neplasms(C00-D48),1-029-Malignant neoplasm of stomach(C16),F,50 - 59,14
2021,1-026-Neplasms(C00-D48),1-029-Malignant neoplasm of stomach(C16),F,60 - 64,5
2021,1-026-Neplasms(C00-D48),1-029-Malignant neoplasm of stomach(C16),F,65 - 69,17
2021,1-026-Neplasms(C00-D48),1-029-Malignant neoplasm of stomach(C16),F,70 - 74,12
2021,1-026-Neplasms(C00-D48),1-029-Malignant neoplasm of stomach(C16),F,75 - 79,14
2021,1-026-Neplasms(C00-D48),1-029-Malignant neoplasm of stomach(C16),F,80 - 84,20
2021,1-026-Neplasms(C00-D48),1-029-Malignant neoplasm of stomach(C16),F,85 and Over,25
2021,1-026-Neplasms(C00-D48),"1-030-Malignant neoplasm of colon, rectum and anus(C18-C21)",F,30 - 39,5
2021,1-026-Neplasms(C00-D48),"1-030-Malignant neoplasm of colon, rectum and anus(C18-C21)",F,40 - 49,17
2021,1-026-Neplasms(C00-D48),"1-030-Malignant neoplasm of colon, rectum and anus(C18-C21)",F,50 - 59,45
2021,1-026-Neplasms(C00-D48),"1-030-Malignant neoplasm of colon, rectum and anus(C18-C21)",F,60 - 64,43
2021,1-026-Neplasms(C00-D48),"1-030-Malignant neoplasm of colon, rectum and anus(C18-C21)",F,65 - 69,46
2021,1-026-Neplasms(C00-D48),"1-030-Malignant neoplasm of colon, rectum and anus(C18-C21)",F,70 - 74,55
2021,1-026-Neplasms(C00-D48),"1-030-Malignant neoplasm of colon, rectum and anus(C18-C21)",F,75 - 79,58
2021,1-026-Neplasms(C00-D48),"1-030-Malignant neoplasm of colon, rectum and anus(C18-C21)",F,80 - 84,77
2021,1-026-Neplasms(C00-D48),"1-030-Malignant neoplasm of colon, rectum and anus(C18-C21)",F,85 and Over,130
2021,1-026-Neplasms(C00-D48),1-031-Malignant neoplasm of liver and intrahepatic bile ducts(C22),F,20 - 29,1
2021,1-026-Neplasms(C00-D48),1-031-Malignant neoplasm of liver and intrahepatic bile ducts(C22),F,30 - 39,1
2021,1-026-Neplasms(C00-D48),1-031-Malignant neoplasm of liver and intrahepatic bile ducts(C22),F,40 - 49,6
2021,1-026-Neplasms(C00-D48),1-031-Malignant neoplasm of liver and intrahepatic bile ducts(C22),F,50 - 59,12
2021,1-026-Neplasms(C00-D48),1-031-Malignant neoplasm of liver and intrahepatic bile ducts(C22),F,60 - 64,13
2021,1-026-Neplasms(C00-D48),1-031-Malignant neoplasm of liver and intrahepatic bile ducts(C22),F,65 - 69,22
2021,1-026-Neplasms(C00-D48),1-031-Malignant neoplasm of liver and intrahepatic bile ducts(C22),F,70 - 74,20
2021,1-026-Neplasms(C00-D48),1-031-Malignant neoplasm of liver and intrahepatic bile ducts(C22),F,75 - 79,25
2021,1-026-Neplasms(C00-D48),1-031-Malignant neoplasm of liver and intrahepatic bile ducts(C22),F,80 - 84,25
2021,1-026-Neplasms(C00-D48),1-031-Malignant neoplasm of liver and intrahepatic bile ducts(C22),F,85 and Over,50
2021,1-026-Neplasms(C00-D48),1-032-Malignant neoplasm of pancreas(C25),F,40 - 49,6
2021,1-026-Neplasms(C00-D48),1-032-Malignant neoplasm of pancreas(C25),F,50 - 59,18
2021,1-026-Neplasms(C00-D48),1-032-Malignant neoplasm of pancreas(C25),F,60 - 64,25
2021,1-026-Neplasms(C00-D48),1-032-Malignant neoplasm of pancreas(C25),F,65 - 69,38
2021,1-026-Neplasms(C00-D48),1-032-Malignant neoplasm of pancreas(C25),F,70 - 74,47
2021,1-026-Neplasms(C00-D48),1-032-Malignant neoplasm of pancreas(C25),F,75 - 79,50
2021,1-026-Neplasms(C00-D48),1-032-Malignant neoplasm of pancreas(C25),F,80 - 84,29
2021,1-026-Neplasms(C00-D48),1-032-Malignant neoplasm of pancreas(C25),F,85 and Over,37
2021,1-026-Neplasms(C00-D48),1-033-Malignant neoplasm of larynx(C32),F,65 - 69,1
2021,1-026-Neplasms(C00-D48),1-033-Malignant neoplasm of larynx(C32),F,75 - 79,1
2021,1-026-Neplasms(C00-D48),"1-034-Malignant neoplasm of trachea, bronchus and lung(C33-C34)",F,30 - 39,4
2021,1-026-Neplasms(C00-D48),"1-034-Malignant neoplasm of trachea, bronchus and lung(C33-C34)",F,40 - 49,11
2021,1-026-Neplasms(C00-D48),"1-034-Malignant neoplasm of trachea, bronchus and lung(C33-C34)",F,50 - 59,47
2021,1-026-Neplasms(C00-D48),"1-034-Malignant neoplasm of trachea, bronchus and lung(C33-C34)",F,60 - 64,49
2021,1-026-Neplasms(C00-D48),"1-034-Malignant neoplasm of trachea, bronchus and lung(C33-C34)",F,65 - 69,50
2021,1-026-Neplasms(C00-D48),"1-034-Malignant neoplasm of trachea, bronchus and lung(C33-C34)",F,70 - 74,63
2021,1-026-Neplasms(C00-D48),"1-034-Malignant neoplasm of trachea, bronchus and lung(C33-C34)",F,75 - 79,64
2021,1-026-Neplasms(C00-D48),"1-034-Malignant neoplasm of trachea, bronchus and lung(C33-C34)",F,80 - 84,66
2021,1-026-Neplasms(C00-D48),"1-034-Malignant neoplasm of trachea, bronchus and lung(C33-C34)",F,85 and Over,82
2021,1-026-Neplasms(C00-D48),1-035-Malignant melanoma of skin(C43),F,30 - 39,2
2021,1-026-Neplasms(C00-D48),1-035-Malignant melanoma of skin(C43),F,50 - 59,2
2021,1-026-Neplasms(C00-D48),1-035-Malignant melanoma of skin(C43),F,60 - 64,2
2021,1-026-Neplasms(C00-D48),1-035-Malignant melanoma of skin(C43),F,65 - 69,1
2021,1-026-Neplasms(C00-D48),1-035-Malignant melanoma of skin(C43),F,75 - 79,1
2021,1-026-Neplasms(C00-D48),1-035-Malignant melanoma of skin(C43),F,80 - 84,1
2021,1-026-Neplasms(C00-D48),1-036-Malignant neoplasm of breast(C50),F,20 - 29,1
2021,1-026-Neplasms(C00-D48),1-036-Malignant neoplasm of breast(C50),F,30 - 39,8
2021,1-026-Neplasms(C00-D48),1-036-Malignant neoplasm of breast(C50),F,40 - 49,40
2021,1-026-Neplasms(C00-D48),1-036-Malignant neoplasm of breast(C50),F,50 - 59,115
2021,1-026-Neplasms(C00-D48),1-036-Malignant neoplasm of breast(C50),F,60 - 64,64
2021,1-026-Neplasms(C00-D48),1-036-Malignant neoplasm of breast(C50),F,65 - 69,73
2021,1-026-Neplasms(C00-D48),1-036-Malignant neoplasm of breast(C50),F,70 - 74,81
2021,1-026-Neplasms(C00-D48),1-036-Malignant neoplasm of breast(C50),F,75 - 79,32
2021,1-026-Neplasms(C00-D48),1-036-Malignant neoplasm of breast(C50),F,80 - 84,46
2021,1-026-Neplasms(C00-D48),1-036-Malignant neoplasm of breast(C50),F,85 and Over,63
2021,1-026-Neplasms(C00-D48),1-037-Malignant neoplasm of cervix uteri(C53),F,30 - 39,4
2021,1-026-Neplasms(C00-D48),1-037-Malignant neoplasm of cervix uteri(C53),F,40 - 49,15
2021,1-026-Neplasms(C00-D48),1-037-Malignant neoplasm of cervix uteri(C53),F,50 - 59,11
2021,1-026-Neplasms(C00-D48),1-037-Malignant neoplasm of cervix uteri(C53),F,60 - 64,13
2021,1-026-Neplasms(C00-D48),1-037-Malignant neoplasm of cervix uteri(C53),F,65 - 69,8
2021,1-026-Neplasms(C00-D48),1-037-Malignant neoplasm of cervix uteri(C53),F,70 - 74,7
2021,1-026-Neplasms(C00-D48),1-037-Malignant neoplasm of cervix uteri(C53),F,75 - 79,6
2021,1-026-Neplasms(C00-D48),1-037-Malignant neoplasm of cervix uteri(C53),F,80 - 84,9
2021,1-026-Neplasms(C00-D48),1-037-Malignant neoplasm of cervix uteri(C53),F,85 and Over,8
2021,1-026-Neplasms(C00-D48),1-038-Malignant neoplasm of other and unspecified parts of uterus(C54-C55),F,30 - 39,1
2021,1-026-Neplasms(C00-D48),1-038-Malignant neoplasm of other and unspecified parts of uterus(C54-C55),F,40 - 49,9
2021,1-026-Neplasms(C00-D48),1-038-Malignant neoplasm of other and unspecified parts of uterus(C54-C55),F,50 - 59,24
2021,1-026-Neplasms(C00-D48),1-038-Malignant neoplasm of other and unspecified parts of uterus(C54-C55),F,60 - 64,22
2021,1-026-Neplasms(C00-D48),1-038-Malignant neoplasm of other and unspecified parts of uterus(C54-C55),F,65 - 69,26
2021,1-026-Neplasms(C00-D48),1-038-Malignant neoplasm of other and unspecified parts of uterus(C54-C55),F,70 - 74,21
2021,1-026-Neplasms(C00-D48),1-038-Malignant neoplasm of other and unspecified parts of uterus(C54-C55),F,75 - 79,10
2021,1-026-Neplasms(C00-D48),1-038-Malignant neoplasm of other and unspecified parts of uterus(C54-C55),F,80 - 84,10
2021,1-026-Neplasms(C00-D48),1-038-Malignant neoplasm of other and unspecified parts of uterus(C54-C55),F,85 and Over,7
2021,1-026-Neplasms(C00-D48),1-039-Malignant neoplasm of ovary(C56),F,30 - 39,2
2021,1-026-Neplasms(C00-D48),1-039-Malignant neoplasm of ovary(C56),F,40 - 49,7
2021,1-026-Neplasms(C00-D48),1-039-Malignant neoplasm of ovary(C56),F,50 - 59,34
2021,1-026-Neplasms(C00-D48),1-039-Malignant neoplasm of ovary(C56),F,60 - 64,16
2021,1-026-Neplasms(C00-D48),1-039-Malignant neoplasm of ovary(C56),F,65 - 69,24
2021,1-026-Neplasms(C00-D48),1-039-Malignant neoplasm of ovary(C56),F,70 - 74,19
2021,1-026-Neplasms(C00-D48),1-039-Malignant neoplasm of ovary(C56),F,75 - 79,11
2021,1-026-Neplasms(C00-D48),1-039-Malignant neoplasm of ovary(C56),F,80 - 84,11
2021,1-026-Neplasms(C00-D48),1-039-Malignant neoplasm of ovary(C56),F,85 and Over,14
2021,1-026-Neplasms(C00-D48),1-041-Malignant neoplasm of bladder(C67),F,50 - 59,4
2021,1-026-Neplasms(C00-D48),1-041-Malignant neoplasm of bladder(C67),F,60 - 64,3
2021,1-026-Neplasms(C00-D48),1-041-Malignant neoplasm of bladder(C67),F,65 - 69,5
2021,1-026-Neplasms(C00-D48),1-041-Malignant neoplasm of bladder(C67),F,70 - 74,4
2021,1-026-Neplasms(C00-D48),1-041-Malignant neoplasm of bladder(C67),F,75 - 79,1
2021,1-026-Neplasms(C00-D48),1-041-Malignant neoplasm of bladder(C67),F,80 - 84,6
2021,1-026-Neplasms(C00-D48),1-041-Malignant neoplasm of bladder(C67),F,85 and Over,14
2021,1-026-Neplasms(C00-D48),"1-042-Malignant neoplasm of meninges, brain and other parts of central nervous system(C70-C72)",F,4,1
2021,1-026-Neplasms(C00-D48),"1-042-Malignant neoplasm of meninges, brain and other parts of central nervous system(C70-C72)",F,5-Sep,1
2021,1-026-Neplasms(C00-D48),"1-042-Malignant neoplasm of meninges, brain and other parts of central nervous system(C70-C72)",F,Oct-19,1
2021,1-026-Neplasms(C00-D48),"1-042-Malignant neoplasm of meninges, brain and other parts of central nervous system(C70-C72)",F,20 - 29,1
2021,1-026-Neplasms(C00-D48),"1-042-Malignant neoplasm of meninges, brain and other parts of central nervous system(C70-C72)",F,40 - 49,3
2021,1-026-Neplasms(C00-D48),"1-042-Malignant neoplasm of meninges, brain and other parts of central nervous system(C70-C72)",F,50 - 59,9
2021,1-026-Neplasms(C00-D48),"1-042-Malignant neoplasm of meninges, brain and other parts of central nervous system(C70-C72)",F,60 - 64,6
2021,1-026-Neplasms(C00-D48),"1-042-Malignant neoplasm of meninges, brain and other parts of central nervous system(C70-C72)",F,65 - 69,5
2021,1-026-Neplasms(C00-D48),"1-042-Malignant neoplasm of meninges, brain and other parts of central nervous system(C70-C72)",F,70 - 74,8
2021,1-026-Neplasms(C00-D48),"1-042-Malignant neoplasm of meninges, brain and other parts of central nervous system(C70-C72)",F,75 - 79,8
2021,1-026-Neplasms(C00-D48),"1-042-Malignant neoplasm of meninges, brain and other parts of central nervous system(C70-C72)",F,80 - 84,2
2021,1-026-Neplasms(C00-D48),"1-042-Malignant neoplasm of meninges, brain and other parts of central nervous system(C70-C72)",F,85 and Over,3
2021,1-026-Neplasms(C00-D48),1-043-Non-Hodgkins lymphoma(C82-C85)),F,30 - 39,2
2021,1-026-Neplasms(C00-D48),1-043-Non-Hodgkins lymphoma(C82-C85)),F,40 - 49,1
2021,1-026-Neplasms(C00-D48),1-043-Non-Hodgkins lymphoma(C82-C85)),F,50 - 59,4
2021,1-026-Neplasms(C00-D48),1-043-Non-Hodgkins lymphoma(C82-C85)),F,60 - 64,5
2021,1-026-Neplasms(C00-D48),1-043-Non-Hodgkins lymphoma(C82-C85)),F,65 - 69,6
2021,1-026-Neplasms(C00-D48),1-043-Non-Hodgkins lymphoma(C82-C85)),F,70 - 74,14
2021,1-026-Neplasms(C00-D48),1-043-Non-Hodgkins lymphoma(C82-C85)),F,75 - 79,7
2021,1-026-Neplasms(C00-D48),1-043-Non-Hodgkins lymphoma(C82-C85)),F,80 - 84,23
2021,1-026-Neplasms(C00-D48),1-043-Non-Hodgkins lymphoma(C82-C85)),F,85 and Over,14
2021,1-026-Neplasms(C00-D48),1-044-Multiple myeloma and malignant plasma cell neoplasms(C90),F,50 - 59,3
2021,1-026-Neplasms(C00-D48),1-044-Multiple myeloma and malignant plasma cell neoplasms(C90),F,60 - 64,4
2021,1-026-Neplasms(C00-D48),1-044-Multiple myeloma and malignant plasma cell neoplasms(C90),F,65 - 69,5
2021,1-026-Neplasms(C00-D48),1-044-Multiple myeloma and malignant plasma cell neoplasms(C90),F,70 - 74,6
2021,1-026-Neplasms(C00-D48),1-044-Multiple myeloma and malignant plasma cell neoplasms(C90),F,75 - 79,6
2021,1-026-Neplasms(C00-D48),1-044-Multiple myeloma and malignant plasma cell neoplasms(C90),F,80 - 84,2
2021,1-026-Neplasms(C00-D48),1-044-Multiple myeloma and malignant plasma cell neoplasms(C90),F,85 and Over,7
2021,1-026-Neplasms(C00-D48),1-045-Leukaemia(C91-C95),F,3,1
2021,1-026-Neplasms(C00-D48),1-045-Leukaemia(C91-C95),F,4,1
2021,1-026-Neplasms(C00-D48),1-045-Leukaemia(C91-C95),F,Oct-19,1
2021,1-026-Neplasms(C00-D48),1-045-Leukaemia(C91-C95),F,20 - 29,4
2021,1-026-Neplasms(C00-D48),1-045-Leukaemia(C91-C95),F,30 - 39,5
2021,1-026-Neplasms(C00-D48),1-045-Leukaemia(C91-C95),F,40 - 49,5
2021,1-026-Neplasms(C00-D48),1-045-Leukaemia(C91-C95),F,50 - 59,7
2021,1-026-Neplasms(C00-D48),1-045-Leukaemia(C91-C95),F,60 - 64,8
2021,1-026-Neplasms(C00-D48),1-045-Leukaemia(C91-C95),F,65 - 69,9
2021,1-026-Neplasms(C00-D48),1-045-Leukaemia(C91-C95),F,70 - 74,11
2021,1-026-Neplasms(C00-D48),1-045-Leukaemia(C91-C95),F,75 - 79,9
2021,1-026-Neplasms(C00-D48),1-045-Leukaemia(C91-C95),F,80 - 84,16
2021,1-026-Neplasms(C00-D48),1-045-Leukaemia(C91-C95),F,85 and Over,10
2021,1-026-Neplasms(C00-D48),1-046-Remainder of malignant neoplasms,F,2,1
2021,1-026-Neplasms(C00-D48),1-046-Remainder of malignant neoplasms,F,Oct-19,2
2021,1-026-Neplasms(C00-D48),1-046-Remainder of malignant neoplasms,F,20 - 29,3
2021,1-026-Neplasms(C00-D48),1-046-Remainder of malignant neoplasms,F,30 - 39,3
2021,1-026-Neplasms(C00-D48),1-046-Remainder of malignant neoplasms,F,40 - 49,17
2021,1-026-Neplasms(C00-D48),1-046-Remainder of malignant neoplasms,F,50 - 59,27
2021,1-026-Neplasms(C00-D48),1-046-Remainder of malignant neoplasms,F,60 - 64,32
2021,1-026-Neplasms(C00-D48),1-046-Remainder of malignant neoplasms,F,65 - 69,40
2021,1-026-Neplasms(C00-D48),1-046-Remainder of malignant neoplasms,F,70 - 74,42
2021,1-026-Neplasms(C00-D48),1-046-Remainder of malignant neoplasms,F,75 - 79,31
2021,1-026-Neplasms(C00-D48),1-046-Remainder of malignant neoplasms,F,80 - 84,43
2021,1-026-Neplasms(C00-D48),1-046-Remainder of malignant neoplasms,F,85 and Over,59
2021,1-026-Neplasms(C00-D48),1-047-Remainder of neoplasms(D00-D48),F,Oct-19,1
2021,1-026-Neplasms(C00-D48),1-047-Remainder of neoplasms(D00-D48),F,40 - 49,7
2021,1-026-Neplasms(C00-D48),1-047-Remainder of neoplasms(D00-D48),F,50 - 59,6
2021,1-026-Neplasms(C00-D48),1-047-Remainder of neoplasms(D00-D48),F,60 - 64,6
2021,1-026-Neplasms(C00-D48),1-047-Remainder of neoplasms(D00-D48),F,65 - 69,12
2021,1-026-Neplasms(C00-D48),1-047-Remainder of neoplasms(D00-D48),F,70 - 74,11
2021,1-026-Neplasms(C00-D48),1-047-Remainder of neoplasms(D00-D48),F,75 - 79,6
2021,1-026-Neplasms(C00-D48),1-047-Remainder of neoplasms(D00-D48),F,80 - 84,14
2021,1-026-Neplasms(C00-D48),1-047-Remainder of neoplasms(D00-D48),F,85 and Over,29
2021,1-048-Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism(D50-D89),1-049-Anaemias(D50-D64),F,65 - 69,1
2021,1-048-Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism(D50-D89),1-049-Anaemias(D50-D64),F,75 - 79,1
2021,1-048-Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism(D50-D89),1-050-Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism(D65-D89),F,30 - 39,1
2021,1-048-Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism(D50-D89),1-050-Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism(D65-D89),F,40 - 49,1
2021,1-048-Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism(D50-D89),1-050-Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism(D65-D89),F,65 - 69,2
2021,1-048-Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism(D50-D89),1-050-Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism(D65-D89),F,85 and Over,1
2021,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)",1-052-Diabetes mellitus(E10-E14),F,40 - 49,3
2021,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)",1-052-Diabetes mellitus(E10-E14),F,50 - 59,7
2021,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)",1-052-Diabetes mellitus(E10-E14),F,60 - 64,4
2021,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)",1-052-Diabetes mellitus(E10-E14),F,65 - 69,15
2021,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)",1-052-Diabetes mellitus(E10-E14),F,70 - 74,10
2021,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)",1-052-Diabetes mellitus(E10-E14),F,75 - 79,20
2021,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)",1-052-Diabetes mellitus(E10-E14),F,80 - 84,31
2021,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)",1-052-Diabetes mellitus(E10-E14),F,85 and Over,66
2021,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)",1-053-Malnutrition(E40-E46),F,30 - 39,1
2021,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)","1-054-Remainder of endocrine, nutritional and metabolic diseases",F,20 - 29,1
2021,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)","1-054-Remainder of endocrine, nutritional and metabolic diseases",F,40 - 49,1
2021,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)","1-054-Remainder of endocrine, nutritional and metabolic diseases",F,50 - 59,1
2021,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)","1-054-Remainder of endocrine, nutritional and metabolic diseases",F,65 - 69,2
2021,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)","1-054-Remainder of endocrine, nutritional and metabolic diseases",F,80 - 84,3
2021,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)","1-054-Remainder of endocrine, nutritional and metabolic diseases",F,85 and Over,5
2021,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)","1-054-Remainder of endocrine, nutritional and metabolic diseases",F,Under 28 days,1
2021,1-055-Mental and behavioural disorders(F01-F99),"1-057-Remainder of mental and behavioural disorders(F01-F09,F20-F99)",F,85 and Over,1
2021,1-058-Diseases of the nervous system(G00-G98),"1-059-Meningitis(G00,G03)",F,1,1
2021,1-058-Diseases of the nervous system(G00-G98),1-060-Alzheimers disease(G30),F,75 - 79,1
2021,1-058-Diseases of the nervous system(G00-G98),1-060-Alzheimers disease(G30),F,85 and Over,4
2021,1-058-Diseases of the nervous system(G00-G98),"1-061-Remainder of diseases of the nervous system(G04-G25,G31-G98)",F,1,3
2021,1-058-Diseases of the nervous system(G00-G98),"1-061-Remainder of diseases of the nervous system(G04-G25,G31-G98)",F,Oct-19,4
2021,1-058-Diseases of the nervous system(G00-G98),"1-061-Remainder of diseases of the nervous system(G04-G25,G31-G98)",F,20 - 29,1
2021,1-058-Diseases of the nervous system(G00-G98),"1-061-Remainder of diseases of the nervous system(G04-G25,G31-G98)",F,30 - 39,3
2021,1-058-Diseases of the nervous system(G00-G98),"1-061-Remainder of diseases of the nervous system(G04-G25,G31-G98)",F,40 - 49,2
2021,1-058-Diseases of the nervous system(G00-G98),"1-061-Remainder of diseases of the nervous system(G04-G25,G31-G98)",F,50 - 59,7
